SchoolName,Index
Barnesville Public Schools,1533
Bartlett ISD,1020
Bastrop Independent School District,1914
Bath Community Schools,3210
Battle Creek Central High School,1167
Battle Creek Public Schools,2646
Bay City ISD,2101
Bay-Arenac ISD,909
Beaumont ISD,748
Beaverton School District,1443
BECKER PUBLIC SCHOOLS,1475
Beckville ISD,1964
Bedford Public Schools,1618
Beeville ISD,2183
Belcourt School District #7,2815
Belding Area Schools,1062
Belle Plaine Public Schools,1400
Bells ISD,2225
Bellville ISD,2334
Belmond-Klemme CSD,1344
Beloit Schools USD 273,2730
Belton Independent School District,1873
Ben Bolt - Palito Blanco ISD,2197
Benavides ISD,2230
Bend-La Pine Schools,2413
Benjamin School District 25,1192
Benson Public Schools ISD #777,1584
Benzie Central Schools,2367
Bernalillo Public Schools,2111
Berrien RESA,1635
Berrien Springs Public Schools,1327
Berwyn North School District 98,1719
Berwyn South School District 100,1287
Bethalto CUSD #8,1329
Bethel Board of Education,2425
Big Lake Schools,1761
Big Sandy ISD - Polk County,2347
Big Sandy ISD-Upshur County,1918
Big Spring Independent School District,723
Birch Run Area Schools,1627
Birdville Independent School District,2178
Bishop Consolidated Independent School District,2297
Bismarck-Henning CUSD #1,1718
Bismarck-Henning/Rossville-Alvin Cooperative High School,1963
Blachly School District,2514
Blackwell Consolidated Independent School District,2113
Blanco ISD,1855
Bland ISD,2075
Blinn College - Brenham Regular,1319
Bloomburg Independent School District,2233
Bloomfield Public Schools,2463
Blooming Grove ISD,1348
Bloomingdale Public Schools,3205
Bloomingdale School District 13,1261
Bloomington Independent School District,959
Blue Ridge CUSD #18,1708
Blue Ridge ISD,845
Bluff Dale ISD,2721
Blum ISD,2351
Boerne Independent School District,1350
BOLD Public Schools,3004
Boles ISD,1301
Bonham ISD,866
Bonneville Joint School District 93,1349
Borden County ISD,1296
Borger ISD,904
Boscobel Area Schools,2023
Bosqueville ISD,1003
Bowie Independent School District,878
"Bowie-Cass Electric Cooperative, Inc.",830
Box Elder School District,1575
Boyceville Community School District,1606
Boyd ISD,1611
Boyne City Public Schools,965
Boys Ranch ISD,697
Brackett ISD,1723
Brandon School District,1633
Brandywine Community Schools,1034
Brazosport College,1854
Brazosport Independent School District,877
Breckenridge ISD,1647
Breckenridge Public Schools 846,1745
Brenham ISD,1856
Bridge City Independent School District,905
Bridgeport ISD,647
Bridgeport Public Schools,2756
Bridgman Public Schools,1060
Brighton Area Schools,2615
Bristol Bay Borough School District,2140
Bristol Public Schools,2447
Broaddus ISD,2228
Brock ISD,803
Brookfield-LaGrange Park School District 95,1715
Brookings-Harbor School District 17C,1563
Brooklyn Center Schools,1769
Brooks,2026
Brooks County ISD,2016
Brookwood School District 167,1714
Brownfield ISD,674
Browning Public Schools,2060
Brownsboro ISD,1273
Brownsville ISD,2175
Brownwood Independent School District,988
Bryan Independent School District,2246
BSSD - Unalakleet,2110
Buckholts Independent School District,2350
Buckley Schools,2599
Buena Vista ISD,712
Buffalo ISD,2545
Buffalo-Hanover-Montrose Schools,1209
Bullard Independent School District,2490
Buna Independent School District,820
Burkburnett Independent School District,1896
Burkeville ISD,1892
Burleson ISD,1384
Burlington USD #244,3199
BURNET CONSOLIDATED I.S.D.,1041
Burnham School District 154.5,2694
Burnsville-Eagan-Savage ISD 191,1113
Burton ISD,2593
Bushland ISD,1767
Bynum ISD,2116
Byron Area Schools,1428
Byron Center Public Schools,930
C.O.O.R. Intermediate School District,1970
Caddo Mills ISD,669
Cahokia Unit School District 187,1497
Calallen ISD,934
Caldwell ISD,680
Calhoun County ISD,2207
Calhoun Intermediate School District,Calhoun
Callisburg ISD,2750
Cambridge-Isanti Schools,1122
Cameron ISD,1226
Canadian ISD,789
Cannon Valley Special Education Cooperative,1036
Canton ISD,2194
Canton Union School District #66,1679
Canutillo ISD,864
Canyon ISD,788
Canyon-Owyhee School Service Agency,2093
Capitan Municipal Schools,1345
Carbon Cliff - Barstow School District 36,1712
Carlinville CUSD #1,1720
Carlisle ISD,762
Carlsbad Municipal Schools,2103
Carmel Clay Public Library,1885
Carrizo Springs C.I.S.D.,861
Carrollton Public Schools,2522
Carrollton-Farmers Branch ISD,631
Carson City-Crystal Area Schools,1068
Carthage ISD,1182
Cascade School District #5,1572
Cass City Public Schools,2996
Castleberry Independent School District,1090
Catalina Foothills School District,1202
"CAVIAT (Coconino Association for Vocations, Industry and Technology)",1117
CCSD 89,1409
Cedar Hill ISD,1600
Cedar Mountain Schools - District 2754,2796
Cedar Springs Public Schools,1484
Celeste ISD,1411
Celina Independent School District,758
Centennial ISD 12,1528
Centennial School District,1561
Center Cass School District 66,1490
Center ISD,651
Center Point ISD,1923
Central Appraisal District of Taylor County,3190
Central Arizona Valley Institute of Technology,1801
Central CUSD 301,1311
Central Heights Independent School District,1517
Central ISD,2291
Central Point School District 6,1553
Central Public Schools,2403
Central School District 104,1243
Central School District 51,1507
Centreville Public Schools,1989
Century School District 100,2790
Channelview ISD,791
Chanute Public Schools USD 413,2345
Chapel Hill ISD -Titus County,1760
Chapel Hill ISD-Smith County,1759
Charlevoix-Emmet ISD,2499
Charlotte Public Schools,1031
Chatham School District,2647
Cheboygan Area Schools,3215
Chelsea School District,911
Cherokee Independent School District,1583
Cherokee Indian Hospital,2148
Chester ISD,2687
Cheylin USD 103,2572
Chico ISD,2255
Childress ISD,2242
Chilton ISD,1853
China Spring ISD,2238
Chisago Lakes School District 2144,1066
Chisholm School District,840
Chisum ISD,2316
Christoval ISD,1754
Chugach School District,2598
Churchill County School District,1197
Cicero School District 99,1488
City of Friona,2824
City of Hayden,2366
City of Hermantown,2639
City of Karnes City,3006
City of Ouray,2503
City of Stewartville,2080
City of Watford,2633
City of Waverly,694
City School District,581
City View ISD,2280
Clackamas Community College,1412
Clackamas Education Service District,1547
Clarksville ISD,731
Claude ISD,1169
Clayton School District,2057
Clear Creek ISD,1940
Cleburne Independent School District,1684
Cleveland ISD,1682
Cleveland Public School,2475
Clifton ISD,2177
Climax-Scotts Community Schools,2506
Climax-Shelly ISD 592,1831
Clint Independent School District,919
Clinton Community Schools,3191
Clinton County RESA,2714
Clinton Public Schools,2467
Clio Area Schools,1481
Cloquet Public Schools,1149
Cloud County Community College,2656
Clyde CISD,661
Coahoma ISD,984
Coastal Bend College,2027
Coldspring-Oakhurst CISD,672
College of Lake County,2575
College of the Mainland,2271
Collin College,1010
Collinsville CUSD #10,1231
Collinsville ISD,2262
Colorado ISD,2243
Columbia - Brazoria ISD,1290
Columbia Heights Public Schools,1211
Columbus Independent School District,1798
Comal ISD,1083
Comanche ISD,664
Comfort ISD,652
Commerce ISD,1127
Community Consolidated School District 180,1514
Community Consolidated School District 59,2677
Community Consolidated School District 93,1266
Community High School District 218,1717
Community High School District 94,1499
Community ISD,1208
Community Unit School District 300,1453
Como-Pickton CISD,2314
Comstock Public Schools,1037
Concept Schools - Horizon Science Academy Twin Cities,2626
Concept Schools - Minnesota Math and Science Academy,2355
Concord Community Schools,1623
Connally ISD,690
Constantine Public Schools,2392
Consumer Bankers Association,2031
Cook County School District 104,1792
Cooper ISD,2277
Coppell Independent School District,1721
Copper Country ISD,2693
Copperas Cove Independent School District,665
Corbett School District,1554
Cordova School District,2046
CORPUS CHRISTI INDEPENDENT SCHOOL DISTRICT,898
Corrigan-Camden ISD,1701
Corsicana Independent School District,642
Corunna Public Schools,1522
Corvallis School District 509J,1216
Cotulla ISD,638
County School District,582
County School District 2,618
County School District 3,2596
County School District TEST,2722
Coupland Independent School District,2708
Coventry Board of Education,2424
Covert Public Schools,1506
Covington ISD,1930
Craig City School District,1845
Crandall ISD,2100
Crane Independent School District,2491
Cranfills Gap ISD,1866
Crawford ISD,2983
Crestwood School District,1521
Creswell School District,1558
Crete-Monee Board of Education,1408
Crockett County Consolidated Common School District,857
Crockett Independent School District,891
Cromwell-Wright School,1822
Crook County School District,1863
Crosby ISD,1018
Crosby-Ironton ISD #182,1067
Crosbyton CISD,972
Cross Plains ISD,2668
Cross Roads Independent School District,2096
Crosslake Community Schools,978
Crowell ISD,655
Crystal City Independent School District,1587
Cuero Independent School District,718
Culberson County - Allamoore ISD,2249
Cumby ISD,2114
Cunningham - West Kingman County USD 332,2709
Cypress-Fairbanks ISD,668
D.C. Everest Area School District,1315
Daingerfield-Lone Star ISD,986
Dakota Community Unit District 201,1495
Dalhart ISD,1129
Dallas School District,2353
Damon Independent School District,1945
Danbury Independent School District,944
Danville CCSD 118,1734
Darien Public Schools District #61,2826
Darlington Community School District,1581
Darrouzett ISD,1916
Davis School District,914
Dawson-Boyd Public Schools,2573
Dayton Independent School District,639
Decatur ISD,648
Deer River Schools ISD 317,2476
Deerfield Public School District 109,1747
DeKalb ISD,892
Del Valle ISD,675
Delano Public Schools,1338
Dell City Independent School District,1300
Delta College,1632
Demo - Harper College,3209
Demo - Litchfield Community District 12,2625
Denison ISD,774
Denton ISD,949
Denver City Independent School District,1942
Derby Public Schools,2426
DeSoto Independent School District,947
Detroit ISD,1724
Detroit Lakes Public Schools,2364
Devers ISD,745
Devine ISD,955
Dew ISD,1865
Deweyville ISD,746
DeWitt Public Schools,1616
D'Hanis Independent School District,990
Diamond Lake School District 76,1733
Diboll ISD,2232
Dickinson Independent School District,2257
Dickinson-Iron Intermediate School District,1100
Dilley Independent School District,852
Dillingham City School District,1775
Dime Box ISD,773
Divide ISD,2485
Dixon Public Schools #170,1258
Dolton School District 149,2571
Donna Independent School District,1299
Doss CCSD,1354
Douglas County School District,1502
Douglas Education Service District,1551
Douglass ISD,2252
DRIPPING SPRINGS INDEPENDENT SCHOOL DISTRICT,634
Driscoll ISD,1438
Dublin Independent School District,865
Duchesne County School District,1429
Duluth Public Schools,963
Dumas Independent School District,1196
Duncanville ISD,858
Dundee Community Schools,1093
Dunlap School District 323,1250
DuPage Area Occupational Education System,1727
DuPage High School District 88,1320
Dupo CUSD 196,1741
Durand Area Schools,1097
Eagle Mountain-Saginaw ISD,1017
Eagle Pass ISD,2009
Eagle Point School District 9,1542
Early ISD,2033
East Aurora School District 131,1665
East Chambers ISD,715
East China School District,2609
East Grand Forks Public Schools,1524
East Lansing Public Schools,1629
East Mississippi Community College,2651
East Moline School District 37,1688
East Mountain High School,2279
Eastern Carver County Schools,1159
Eastern Upper Peninsula Intermediate School District,2786
Eastpointe Community Schools,1944
Eaton RESA,1639
ECHO Joint Agreement,1749
Ector County Independent School District,1406
Ector ISD,2492
Edcouch-Elsa ISD,1455
Eddyville Charter School,2821
Eden Valley-Watkins Schools,1816
Edgewood ISD-Bexar County,844
Edgewood ISD-Van Zandt County,1298
Edina Public Schools,2636
Edinburg Community Unit School District #4,1750
Edinburg Consolidated Independent School District,1044
Edna ISD,1614
Education Service Center Region 13,1949
"Education Service Center, Region 20",1988
Effingham Community Schools,1670
El Campo Independent School District,901
Electra Independent School District,2552
Elgin Independent School District,Elgin
Elk Rapids Schools,2387
Elkhart ISD,1307
Eloy Elementary,2034
Elysian Fields ISD,2644
Ennis ISD,862
Era ISD,846
Española Public Schools District #55,2123
Estacada School District,1566
Estancia Municipal Schools,2064
Eugene School District 4J,1549
Eureka USD 389,2660
Eustace ISD,722
Evadale ISD,2044
Evanston Township High School District 202,1479
Evanston/Skokie School District 65,1247
Evansville Vanderburgh Public Library,2017
Evant ISD,1843
Evergreen Park Elementary SD124,1748
Everman ISD,1454
Fabens ISD,1346
Fairfield ISD,695
Faith Family Academy,2407
Falls City ISD,1937
FALLS Education CO-OP,1291
Faribault Public Schools,1125
Farmersville ISD,1008
Farmington Municipal Schools,1154
Farmington Public Schools,1087
Fayetteville Independent School District,1064
FENTON COMMUNITY HIGH SCHOOL DISTRICT 100,1427
Fern Ridge SD 28J,1535
Ferndale Public Schools,1323
Ferris ISD,2326
First 5 LA,2038
First 5 Riverside,2119
Flat Rock Community Schools,1609
Flatonia ISD,1774
Flint Community Schools,1324
Flinthills USD 492,2603
Floodwood School District #698,1132
Florence Independent School District,677
Floresville ISD,1706
Flour Bluff Independent School District,1439
Flowing Wells Schools,1607
Floydada Collegiate ISD,2287
Foley ISD 51,1823
Follett ISD,2021
Forest Grove School District,3194
Forest Hills Public Schools,691
Forest Lake Area Schools,1059
Forney ISD,637
Forrest County School District,1740
Forrestville Valley School District 221,1249
Forsan ISD,834
Fort Bend Independent School District,649
Fort Cherry School District,2141
Fort Elliott CISD,2803
Fort Hancock Independent School District,2300
Fort Sam Houston ISD,1984
Fort Smith Public Schools,1150
Fort Worth ISD,733
Four Rivers Special Education District,2001
Frank Phillips College,2308
Frankfort CUSD 168,1726
FRANKSTON ISD,2208
Fraser Public Schools,1115
"Frazee-Vergas Public Schools, ISD 23",1088
Frederic School District,2070
Fredericksburg ISD,825
Freeland Community School District,1317
Freer ISD,1001
Fremont School District No. 79,1732
Fridley Public Schools,1114
Friendship Public Charter School,2126
Friona ISD,1262
Frisco ISD,2014
Frost ISD,2331
Fruitport Community Schools,2482
Fruitvale ISD,1938
Gail Borden Public Library District,1426
Gainesville ISD,2214
Galena City School District,2586
Galena Park ISD,1860
Galveston College,1505
Galveston Independent School District,1941
Ganado ISD,2306
Garden City Public Schools USD 457,2712
Garland Independent School District,1084
Garner ISD,730
Garrison ISD,2055
Gary ISD,884
Gatesville ISD,910
Gavin School District 37,1251
Gaylord Community Schools,913
Geneva CUSD 304,1667
Georgetown ISD,966
Georgetown-Ridge Farm Unit No.4,1731
Giddings ISD,710
Gilmer ISD,1768
Gladewater Independent School District,2202
Glasscock County ISD,1363
Glastonbury Public Schools,2417
Glen Ellyn School District 41,1309
Glen Rose Independent School District,732
Glenbard Township High School Dist #87,1729
Glencoe Public Library,1234
Godley ISD,2605
Gogebic Ontonagon Intermediate School District,2747
Goldendale School District,780
Goldthwaite CISD,881
Goliad ISD,2600
Gonzales Independent School District,950
Goodhue County Education District,971
Goodwill Central Texas/Excel,2502
Goose Creek CISD,1195
Gordon ISD,1081
GPM Life Insurance,2393
Grady ISD,987
Graham ISD,800
Granbury ISD,772
Granby Public Schools,2427
Grand Prairie Independent School District,948
Grand Saline ISD,824
Grandfalls-Royalty Independent School District,3189
Grandview ISD,1755
Grandville Public Schools,3041
Granger ISD,1848
Granite School District,2744
Grant Community High School District 124,1751
Granton Area School District,2168
Grape Creek ISD,734
Grapevine-Colleyville ISD,1198
Gratiot County Courthouse,1371
Grayslake CHSD 127,1736
Grayson College,1233
Greasewood Springs Community Schools,763
Greater Albany School District 8J,2005
Greenbush Middle River ISD 2683,1219
Greenville Electric Utility System (GEUS),682
Greenville ISD,1948
Greenwood Independent School District,729
Gregory-Portland ISD,1396
Gresham-Barlow School District,3214
Groesbeck ISD,670
Groom Independent School District,1884
Grosse Ile Township Schools,1334
Gull Lake Community Schools,1057
Gunter ISD,1238
Gurnee School District 56,1244
Gustine ISD,2784
Hale Center ISD,2278
Hallettsville ISD,2193
Hallsville ISD,1976
Hamilton Community Schools,1630
Hamilton ISD,951
Hamlin Collegiate ISD,917
Hamshire-Fannett ISD,792
Hancock County School District,2645
Happy ISD,2251
Harbor Springs Public Schools,1180
Hardin ISD,1123
Hardin-Jefferson ISD,952
Harlandale ISD,1981
Harlem Consolidated School District,1725
Harleton Independent School District,1864
Harlingen Consolidated Independent School District,1015
Harmony ISD,942
Harper Creek Community Schools,1420
Harper Woods School District,1638
Harrison County School Board,2161
Harrison School District 36,1264
Hart Public Schools,1028
Harts Bluff ISD,937
Harvard CUSD 50,1227
Harvey School District 152,1735
Haskell CISD,2723
Hastings Public Schools,931
Hawkins Independent School District,678
Hays CISD,1858
Hazel Crest School District 152 1/2,1401
Hazel Park Schools,1527
Hearne ISD,2705
Heart of Texas Behavioral Health Network,3207
Hedley Independent School District,2684
Helix School District,2585
Hemphill ISD,2578
Hempstead Independent School District,2241
Henderson ISD,958
Henrietta ISD,755
Hereford ISD,2218
Hermantown Community Schools,2711
Hermiston School District,1544
Hico ISD,656
Hidalgo ISD,2062
Highland ISD,1398
Highland Park ISD- Dallas County,2024
Highland Park ISD-Potter County,935
Hill City School,1074
Hill College,1013
Hill County SSA,2106
Hillsboro ISD,953
Hillsboro School District 1J,1540
Hillsdale County ISD,1101
Hinckley-Big Rock CUSD No.429,1228
Hitchcock ISD,1009
Holbrook Unified School District 3,1359
Holland ISD,2290
Holland Township School,1928
Hollandale School District,2384
Holliday Independent School District,1881
Holly Area Schools,1471
Holmes County Consolidated School District,974
Homedale Jt. School District 370,2069
Homer CCSD 33C,1742
Hondo Independent School District,640
Honey Grove I.S.D.,1224
Hooks ISD,2309
Horizon Montessori Public Schools,2035
Houghton Lake Community Schools,1030
House Municipal Schools,2760
Houston Community College,3045
Howard College,1861
Howell Public Schools,1421
Hubbard ISD - Hill County,2013
Huckabay ISD,975
Hudson ISD,1672
Huffman ISD,2641
Huntington ISD,946
Huntley Community School District 158,1422
Huntsville ISD,736
Huron Intermediate School District,961
Hutto ISD,749
Hydaburg City School District,1529
Idalou ISD,2327
Iditarod Area School District,2697
Illini Central CUSD #189,701
Illinois Eastern Community Colleges,2652
Illinois School District Agency,1730
Imlay City Community Schools,941
Independent School District #272 Eden Prairie Schools,1589
Independent School District #361,1332
Independent School District 31,1297
Independent School District 316,1817
Independent School District 748,1516
Independent School District 761,1055
Independent School District No. 465,1692
Ingham Intermediate School District,1274
Ingleside ISD,787
Intermediate District 287,1201
Intermediate School District 917,1033
Ionia County Intermediate School District,1181
Ionia Public Schools,1626
Iowa Park CISD,2788
Ira ISD,1440
Iron Mountain Public Schools,2749
Irving Independent School District,828
ISD #186 - Pequot Lakes Public Schools,1743
ISD #696 - Ely Public Schools,1352
ISD 199 Inver Grove Heights Schools,1694
ISD 279 - Osseo Area Schools,2519
ISD 640-Wabasso Public Schools,1696
Italy Independent School District,2171
Itasca Independent School District,835
Itasca School District #10,1744
J. Sterling Morton High School District 201,1387
Jackson County School District,1999
Jackson Local Schools,778
Jacksonville ISD,1207
Jacksonville School District #117,1241
Jarrell ISD,1933
Jasper ISD,2063
Jayton-Girard ISD,2477
Jefferson Independent School District,982
Jemez Valley Public Schools,2124
Jenison Public Schools,1644
Jim Hogg County ISD,2328
Jim Ned Consolidated Independent School District,1441
Joliet Township High School District 204,1212
Jonesboro Elementary School District 43,2523
Joppa - Maple Grove Unit District #38,2825
Jordan School District #717,1773
Joseph City Unified School District,894
Joshua Independent School District,759
Jourdanton Independent School District,1836
Juab School District,1500
Judson ISD,1434
Junction Independent School District,753
Kalamazoo RESA,1619
Kaleva Norman Dickson School District / Bear Lake Schools,2092
Kansas School Board Association,Kansas
Karnack ISD,3197
Karnes City ISD,977
Kaufman Independent School District,2293
Keene ISD,1849
Keeneyville School District 20,1389
Keller Independent School District,2320
Kelton ISD,2321
Kemp Independent School District,2338
Kenedy County-Wide Common School District,2201
Kenedy ISD-Karnes County,1746
Kennard ISD,1676
Kennedale Independent School District,2219
Kenosha Unified School District,2131
Kent ISD,2589
Kentucky State Board of Licensure for Professional Engineers,1753
Kenyon Wanamingo Schools,1811
Kerens Independent School District,897
Kermit ISD,2213
Kerrville Independent School District,684
Kewaunee School District,2139
Kildeer Countryside School District 96,2806
Kilgore College,1011
Kilgore College Foundation,2538
Kilgore ISD,920
Killdeer Public School,2623
Killeen Independent School District,1051
Killingly Public Schools,2428
King County Library System,2778
Kingman USD #20,2802
Kingsley Area Schools,2354
Kingsville ISD,2237
Kirbyville CISD,954
Kittson Central School District,3193
Klamath County School District,1570
Klamath Falls City Schools,1567
Klein Independent School District,921
KMS Public School,709
Komarek School District 94,1230
Kountze ISD,1403
Krum ISD,717
LA FERIA INDEPENDENT SCHOOL DISTRICT,1835
La Grange Independent School District,766
La Porte Independent School District,767
La Pryor ISD,960
La Vega ISD,870
La Vernia ISD,1470
La Villa ISD,1962
Lackland ISD,1983
LaCrosse Public Schools USD 395,2649
Lafayette School Corporation,1838
Laguna Department of Education,1520
Lake and Peninsula School District,1232
Lake Bluff School District 65,1265
Lake County School District 7,1557
Lake Crystal Wellcome Memorial Schools,1690
Lake Dallas Independent School District,859
Lake Orion Community Schools,1518
Lake Pend Oreille School District #84,2582
Lake Ridge Schools,2056
Lake Shore Public Schools,1620
Lake Travis Independent School District,900
Lake Villa School District 41,1255
Lake Worth ISD,842
Lakeland Joint School District No. 272,2129
Lakeshore Public Schools,1617
Lakeview Community Schools,1070
Lakeview Public Schools,1089
Lakeville District Schools,1160
Lakeway MUD,698
Lakewood Public Schools,902
Lamar CISD,2273
Lamar County School District,782
Lamesa ISD,686
Lampasas Independent School District,1901
Lancaster ISD,743
Lane Education Service District,1565
Lansing School District,1579
Lapeer Community Schools,993
Laporte Public Schools #306,1134
LaPoynor ISD,700
Laredo College,2181
Laredo Independent School District,2520
Lasara Independent School District,2296
Latexo Independent School District,2196
Lawton Community Schools,1622
Le Sueur-Henderson Public Schools,1666
Leakey ISD,706
Leander ISD,795
Lee College,747
Lee County Schools,985
Lefors ISD,973
Leland Public School,2817
Lemont High School District 210,1271
Leon ISD,1996
Leroy-Gridley USD 245,2648
Lester Prairie Schools,2562
Levelland ISD,2283
Lewis County Schools,2780
Lewiston-Altura Public Schools,2341
Lewisville Independent School District,1194
Lexington ISD,1257
Leyden High School District 212,1259
Liberty Hill ISD,929
Liberty Independent School District,725
Liberty-Eylau ISD,822
Libertyville Elementary District 70,1784
Lincoln County School District,2565
Lincoln ESD 156,2505
Lincolnshire-Prairie View School District 103,1204
Lincolnwood District 74,1270
Lindale ISD,2191
Linden-Kildare CISD,739
Lindop School District 92,1578
Lindsay ISD,1875
Lipan ISD,1947
Lisle CUSD 202,1795
Little Cypress-Mauriceville CISD,807
Little Elm ISD,860
Little Falls Community Schools,903
Livingston ISD,1664
Livonia Public Schools School District,1615
Llano ISD,681
Lockhart Independent School District,714
Lockport School District 91,1496
Lombard School District 44,740
London Independent School District,996
Lone Oak Independent School District,2315
Long Prairie-Grey Eagle Public Schools,1444
Longview ISD,2235
Lorena ISD,933
Lorenzo ISD,2435
Los Alamos Public Schools,2696
Los Fresnos CISD,887
Louise ISD,2107
Louisiana  Citizens Property Insurance Corporation,2594
Lovejoy Independent School District,856
Lovelady Independent School District,1078
Lubbock Independent School District,869
Lubbock-Cooper ISD,1703
Luling ISD,1156
Lumberton ISD,851
Lyford CISD,1489
Lyme-Old Lyme Schools,2421
Lyon County School District,1027
Lyons School District 103,1785
Lyons Township High School District 204,1797
Lytle Independent School District,1872
Mabank Independent School District,1915
Macomb Community College,1312
Madison District Public Schools,1640
Madison Public Schools,2416
Madisonville CISD,2059
Magnolia ISD,793
Mahtomedi Public Schools,1077
Malakoff Independent School District,653
Mammoth - San Manuel Unified School District,2122
Manistee Area Public Schools,1636
Manistee Intermediate School District,1079
Manitowoc Public School District,2108
Mannheim District 83,1275
Manor Independent School District,938
Mansfield ISD,1116
Maple Lake Public Schools,1832
Marana Unified School District,1780
Marathon ISD,805
Marble Falls ISD,1042
Marengo CHSD 154,2789
Marengo Union Elementary CSD 165,1525
Marfa ISD,1076
Marion ISD,1985
Marlin Independent School District,1890
Marquette Alger Regional Educational Service Agency,1137
Marquette Public Schools,1492
Marshall Independent School District,798
Mart ISD,2436
Martin's Mill ISD,2240
Martinsville ISD,1280
Mary M. Knight School District,2077
Marysville Public Schools Districts,1172
Mason ISD,1905
Mason Public Schools,1099
Mathis Independent School District,2742
Mattawan Consolidated School,1508
Maud ISD,1889
Maypearl ISD,863
Mayville Community Schools,2352
Maywood School District 89,1713
McAllen Independent School District,1045
McCall-Donnelly Jt. School District No. 421,2127
McCamey ISD,2015
McDade ISD,2814
McFarland School District,1757
McKinney ISD,2118
McLean County Unit District No. 5,1482
McLean ISD,2654
McMullen County ISD,879
Meadow ISD,2250
Medford Public School,1173
Medford School District,1545
Medina Independent School District,702
Medina Valley ISD,760
Melissa ISD,716
Memphis ISD,847
Menahga Public School District 821,940
Mendon Community Schools,1091
Mendota CCSD 289,2543
Mendota High School,1330
Mercedes ISD,2182
Meridian CUSD 223,1268
Merkel Independent School District,1399
Mesa Vista Consolidated Schools,1974
Mesquite ISD,1314
Metamora CCSD 1,2386
Metlakatla Indian Community,2581
Mexia ISD,1752
Meyersville ISD,2286
Miami Independent School District,1883
Michigan Center Schools,1624
Michigan Independent Colleges & Universities,2174
Middle Rio Grande Development Council,1582
Middletown Public Schools,2423
Midland Independent School District,641
Midlothian ISD,1700
Mid-State Education District,1808
Mid-Valley Special Education Cooperative,1669
Midway ISD,728
Midwest Central CUSD #191,1206
Milam Appraisal District,2998
Milam County Commissioners Court,3085
Milano ISD,1771
Mildred ISD,1032
Miles ISD,1337
Mill Creek Academy,2800
Miller Grove ISD,976
Millington Community Schools,2551
Millsap ISD,1603
Millstadt CCSD 160,1486
Milton Freewater School District,1546
Mineola Independent School District,2269
Mineral Point Schools,2067
Mineral Wells Independent School District,957
Mingus Union High School District 4,2011
Minidoka County School District,2041
Minneapolis Public Schools Board of Education,1807
Minnesota State Academies Board,1131
Minnewaska Area Schools,1335
Minooka Community High School,1417
Mission Consolidated Independent School District,741
Mississippi Department of Education,979
Mississippi State Port Authority,1272
Mitchell School District,2678
Mokena School District 159,1269
Molalla River School District,1539
Moline-Coal Valley School District No. 40,1787
Monahans-Wickett-Pyote ISD,1958
Monroe Public Schools,1641
Montabella Community Schools,1643
Montcalm Area Intermediate School District,1313
Monte Alto ISD,784
Montevideo Public Schools,2489
Montgomery ISD,2239
Moody Independent School District,2220
MOREgroup,2782
Morris Area Public Schools,1596
Morris Elementary School District #54,1322
Morrow County School District,1536
Motley County ISD,1887
Moulton ISD,1960
Mount Clemens Community Schools,1631
Mount Pleasant Independent School District,768
Mount Pulaski CUSD #23,2414
"Mount Vernon City Schools, District 80",1806
Mt. Pleasant Public Schools,2679
Mt. Vernon Independent School District,1766
Mt. Vernon Township High School,1199
