simbli_id,school_name,state,address,city,zipcode,phone_number,website,LEAID
166,gasconadeco.r-ii,MO,p.o.box10-716countryclubroad,livingston,nan,nan,dutchmen.us,2923340
167,gasconadeco.r-i,MO,355countyroad61,florence,nan,nan,hermann.k12.mo.us,2914280
171,willard,MO,500e.kimest,willard,65781,4177422584,willardschools.net,100005
173,ashgrover-iv,MO,105westmainstreet,albertville,nan,nan,agpirates.com,2903270
174,walnutgrover-v,MO,301bellevilleavenue,brewton,nan,nan,wgtigers.com,2930990
176,logan-rogersviller-viii,MO,300s.jeffersonst.,athens,nan,nan,logrog.net,2919170
177,springfieldr12,MO,1359e.saintlouisst.,springfield,65802,4175230026,sps.org,100870
178,fairgrover-x,MO,1455tedbatesroad,evergreen,nan,nan,fairgroveschools.net,2911700
183,trentonr-ix,MO,32vinestreetmountain,brook,nan,nan,trentonr9.k12.mo.us,2930360
185,southharrisonco.r-ii,MO,1710alabamaavenue,jasper,nan,nan,shr2.k12.mo.us,2900002
190,chatham,NC,468renaissancedrive,pittsboro,27312,9195423626,chatham.k12.nc.us,3700750
204,fayetter-iii,MO,12380hwy431s,guntersville,nan,nan,fayette.k12.mo.us,2911990
207,mtnview-birchtreer-iii,MO,400reddochhillrd,elba,nan,nan,home.liberty.mvbt.k12.mo.us,100810
208,willowspringsr-iv,MO,1magnumpass,mobile,nan,nan,willowbears.com,2932070
210,westplainsr-vii,MO,455ushighway31north,athens,nan,nan,zizzers.org,2931680
212,junctionhillc-12,MO,4155thavenueeast,oneonta,nan,nan,junctionhill.k12.mo.us,2915060
213,fairviewr-xi,MO,1210almonavenue,tuscaloosa,nan,nan,fvflyers.com,2911850
214,southironco.r-i,MO,1517hurstavenue,leeds,nan,nan,sipanthers.k12.mo.us,2928470
215,arcadiavalleyr-ii,MO,1118greensboroavenue,tuscaloosa,nan,nan,avr2.org,2903150
217,ironco.c-4,MO,1318alabamastreet,tarrant,nan,nan,ironc4.k12.mo.us,2915510
220,grainvalleyr-v,MO,1212ninthavenue,phenixcity,nan,nan,grainvalleyschools.org,2913080
221,oakgrover-vi,MO,417parkwoodstreet,midfield,nan,nan,oakgrove.k12.mo.us,2923010
223,hickmanmillsc-i,MO,5401e103rdstreet,kansascity,64137,8163167000,hickmanmills.org,101290
224,raytownc-2,MO,100h.h.robisondrivep.o.box817,wetumpka,nan,nan,raytownschools.org,2926070
225,grandviewc-4,MO,1301510thstreet,grandview,64030,8163165000,grandviewc4.net,2913140
228,kansascity,MO,2901troostave.,kansascity,64109,8164187000,kcpublicschools.org,102400
229,center58,MO,8434paseoave,kansascity,64131,8163493300,center.k12.mo.us,2908250
230,carljunctionr-i,MO,2194broadstreet,selma,nan,nan,cjr1.org,2907350
231,avillar-xiii,MO,16215thavenuenorthp.o.box1230,bessemer,nan,nan,avillapanthers.org,2904110
233,sarcoxier-ii,MO,43n.broadwayavenue,sylacauga,nan,nan,sarcoxieschools.com,2927540
236,joplin,MO,joplinadministrationbuilding825s.pearlavenue,joplin,64801,4176255200,joplinschools.org,2916350
239,hillsboror-3,MO,500aforumdrive,rolla,nan,nan,hsdr3.org,2926890
240,dunklinr-v,MO,497joachimave.,herculaneum,63048,6364795200,dunklin.k12.mo.us,2914250
241,festusr-vi,MO,102w4thst,alma,nan,nan,festus.k12.mo.us,2912030
242,jeffersonco.r-vii,MO,110n.abcstreetp.o.box1188,milledgeville,nan,nan,jr7.k12.mo.us,2916230
244,windsorc-1,MO,pobox248102hwy51south,homer,nan,nan,windsorc1.com,2932100
245,foxc-6,MO,179w.athensstreet,winder,nan,nan,fox.k12.mo.us,2912300
246,crystalcity47,MO,1100mississippiavenue,crystalcity,63019,nan,crystal.k12.mo.us,2910380
249,holdenr-iii,MO,509westpalmstreet,fitzgerald,nan,nan,holdenschools.org,2914490
250,craven,NC,3600trentroadnew,bern,28562,2525146300,cravenk12.org,3703310
252,knobnosterr-viii,MO,484mulberrystp.o.box6157,macon,nan,nan,knobnoster.k12.mo.us,2916830
256,lacledeco.r-i,MO,259eastpeterstreet,cochran,nan,nan,lacledecountyr1.com,2910110
258,lebanonr-iii,MO,272schoolcircle,nahunta,nan,nan,lebanonr3.org,2918270
259,lacledec-5,MO,501pacificavenue,bremen,nan,nan,jebc5.k12.mo.us,1300600
269,mt.vernonr-v,MO,2625sawneeavenue,buford,nan,nan,mtvernon.k12.mo.us,2921600
270,currituck,NC,2958caratokehighway.,currituck,27929-9612,2522322223,currituck.k12.nc.us,3701080
271,aurorar-viii,MO,789burkeveteransparkway,waynesboro,nan,nan,aurorar8.org,2904020
273,lewisco.c-1,MO,334southwallstreet,calhoun,nan,nan,lewis.k12.mo.us,2918460
277,winfieldr-iv,MO,18772hartfordst.,edison,nan,nan,winfield.k12.mo.us,2932190
282,brookfieldr-iii,MO,311southeaststreet,kingsland,nan,nan,brookfieldr3.org,2905940
285,chillicother-ii,MO,210scollegest,metter,nan,nan,chillicotheschools.org,2908760
286,mcdonaldco.r-i,MO,164independencedr,carrollton,nan,nan,mcdonaldr1.net,2920610
289,laplatar-ii,MO,106trojandr,carrollton,nan,nan,laplata.k12.mo.us,2916950
290,maconco.r-i,MO,p.o.box331015nelsonstreet,cartersville,nan,nan,macon.k12.mo.us,2919410
294,fredericktownr-i,MO,307clevelandstreetpobox130,ringgold,nan,nan,fpsk12.org,2912540
295,mariesco.r-i,MO,37touchdownlane,folkston,nan,nan,mariesr1.k12.mo.us,2930870
298,palmyrar-i,MO,326broadst,cusseta,nan,nan,palmyra.k12.mo.us,2923490
302,eldonr-i,MO,33middleschoolrd,summerville,nan,nan,eldonmustangs.org,2911340
305,oftheosage,MO,402coverd,chickamauga,nan,nan,osageschools.org,2927630
306,iberiar-v,MO,111commercestreeteastfort,gaines,nan,nan,iberia.k12.mo.us,2915420
308,charlestonr-i,MO,1058fifthavenue,jonesboro,nan,nan,charlestonbluejays.org,2908670
312,tiptonr-vi,MO,46southcollegestreet,homerville,nan,nan,tipton.k12.mo.us,2930330
321,montgomeryco.r-ii,MO,211s.gaskinavenue,douglas,nan,nan,mc-wildcats.org,2921330
322,morganco.r-i,MO,p.o.box2708710lanestreet,moultrie,nan,nan,mcr1.us,2929610
323,morganco.r-ii,MO,37joseyroad,adel,nan,nan,versaillestigers.org,2930840
324,riscor-ii,MO,pobox280237jacksonstreet,newnan,nan,nan,risco.k12.mo.us,2926610
326,gideon37,MO,pobox8190eastcrusellestreet,roberta,nan,nan,gideon.k12.mo.us,2912780
327,newmadridco.r-i,MO,p.o.box729201south7thstreet,cordele,nan,nan,nmceaglenation.com,2900004
328,eastnewtonco.r-vi,MO,22808easthighway86,granby,64844,4174726231,eastnewton.org,2930420
329,diamondr-iv,MO,401southmain,diamond,64840,4173255336,diamondwildcats.org,2910800
331,senecar-7,MO,914friscostreet,seneca,64865,4177763426,senecar7.com,1301650
332,neosho,MO,418fairgroundroad,neosho,64850,4174518600,neoshosd.org,2921810
337,northnodawayco.r-vi,MO,1417dothanroad,bainbridge,nan,nan,nnr6.org,2921690
338,maryviller-ii,MO,1501smunnave,maryville,64468-2756,6605623255,maryville.k12.mo.us,2920490
341,thayerr-ii,MO,pobox1029720collegest,eastman,nan,nan,thayer.k12.mo.us,2930270
342,oregon-howellr-iii,MO,202cottonst.,vienna,nan,nan,koshkonongschool.org,2916860
343,altonr-iv,MO,200pineavep.o.box1470,albany,nan,nan,alton.k12.mo.us,2903060
346,osageco.r-iii,MO,11490veteransmemorialhighway,douglasville,nan,nan,fatimacomets.org,2931830
349,gainesviller-v,MO,207shamrockdr,dublin,nan,nan,gainesvillebulldogs.com,2912600
350,dorar-iii,MO,40haroldragandrive,blakely,nan,nan,dora.org,2910950
356,southpemiscotr-v,MO,pobox207216hwy129north,statenville,nan,nan,www3.southpemiscot.com,
358,caruthersville18,MO,405n.ashstreet,springfield,nan,nan,cps18.org,2907470
360,perry32,MO,50laureldr,elberton,nan,nan,perryville.k12.mo.us,1302010
364,smithtonr-vi,MO,201nmainstp.o.box130,swainsboro,nan,nan,smithton.k12.mo.us,2928380
368,st.jamesr-i,MO,613westmainstreet,claxton,nan,nan,stjschools.org,2929250
370,gates,NC,p.obox125205mainstreet,gatesville,27938,2523571113,coserver.gates.k12.nc.us,3701680
372,bowlinggreenr-i,MO,pobox879205lafayetteavenue,fayetteville,nan,nan,bgschools.k12.mo.us,2905660
373,pikeco.r-iii(clopton),MO,28176hwyww,clarksville,63336,5732423546,cloptonhawks.com,1302220
375,louisianar-ii,MO,1120dahlonegahwy.,cumming,nan,nan,louisiana.k12.mo.us,2919260
378,platteco.r-iii,MO,280busharoad,carnesville,nan,nan,plattecountyschooldistrict.com,2925230
380,bolivarr-i,MO,508oakst,gainesville,nan,nan,bolivarschools.org,2905370
384,marionc.earlyr-v,MO,134industrialboulevard,ellijay,nan,nan,mcepanthers.com,2920160
389,waynesviller-vi,MO,pobox205738railroadavenue,gibson,nan,nan,waynesville.k12.mo.us,2931440
391,crockerr-ii,MO,5505altamaave.,brunswick,nan,nan,crockerschools.org,2910350
396,higbeer-viii,MO,pobox12001,calhoun,nan,nan,higbeeschool.com,2914370
397,westranr-i,MO,122nbroadst,cairo,nan,nan,westran.k12.mo.us,2931860
398,moberly,MO,926shepherdbrothersblvd.,moberly,65270,6602692600,moberly.k12.mo.us,2921100
403,richmondr-xvi,MO,poboxn216s6thst,griffin,nan,nan,richmond.k12.mo.us,2926480
405,southernreynoldscor-ii,MO,pobox70weststanfordmillroad,clarkesville,nan,nan,ewhippets.com,1302610
406,bunkerr-iii,MO,"711greenstreet,nw",gainesville,nan,nan,bunkerr3.k12.mo.us,2906170
407,lesterviller-iv,MO,11311hwy15north,sparta,nan,nan,lesterville.k12.mo.us,2918450
411,ripleyco.r-iii,MO,299robertsonave.,tallapoosa,nan,nan,ripleyr3.k12.mo.us,2926550
415,st.charlesr-vi,MO,284campbelldrp.o.box696,hartwell,nan,nan,mo01910164.schoolwires.net,2928920
416,orchardfarmr-v,MO,pobox1330,franklin,nan,nan,ofsd.k12.mo.us,2923160
417,appletoncityr-ii,MO,33n.zackhintonparkway,mcdonough,nan,nan,appletoncity.k12.mo.us,2903120
420,halifax,NC,9625hwy301s,halifax,27839,2525835111,halifax.k12.nc.us,3701950
421,roanokerapidsgraded,NC,536hamiltonstreetroanoke,rapids,27870,2525197100,rrgsd.org,1302940
422,farmingtonr-vii,MO,1411collegest,monticello,nan,nan,fsdknights.com,2911910
426,ste.geneviever-ii,MO,pobox178044charlesrogersblvd,hazlehurst,nan,nan,sgdragons.org,1303000
427,hazelwood,MO,345storeylane,jefferson,nan,nan,hazelwoodschools.org,2913830
428,ferguson-florissantr-ii,MO,8855dunnroad,hazelwood,63042,3146871910,fergflor.org,2912010
431,kirkwoodr-vii,MO,pobox110150sleest,wrightsville,nan,nan,kirkwoodschools.org,2916770
432,lindbergh,MO,125stewartavenue,gray,nan,nan,go.lindberghschools.ws,2918690
433,mehlville,MO,3120lemayferryroadst.,louis,63125,3144675000,mehlvilleschooldistrict.com,1303210
435,affton101,MO,247southhighway221,lakeland,nan,nan,afftonschools.net,2902910
436,bayless,MO,467firetowerrd,dublin,nan,nan,baylessk12.org,2904500
437,brentwood,MO,2221highschooldr.,brentwood,63144,3149624507,brentwoodmoschools.org,2905880
438,clayton,MO,200bradwellstreet,hinesville,nan,nan,claytonschools.net,2909720
440,jennings,MO,pobox428,ludowici,nan,nan,jenningsk12.org,2916290
441,ladue,MO,1592normandr,valdosta,nan,nan,ladueschools.net,2917820
442,maplewoodrichmondheights,MO,2531s.bigbend,maplewood,63143,3146444400,mrhschools.net,1303420
443,normandycollaborative,MO,pobox48831buckcreekbypassroad,oglethorpe,nan,nan,normandysc.org,2922650
445,riverviewgardens,MO,pobox37800madisonstreet,danielsville,nan,nan,riverviewgsd.schoolinsites.com,2926670
446,universitycity,MO,250howardstnep.o.box1265,marietta,nan,nan,ucityschools.org,2930660
447,valleypark,MO,p.o.box3911697pinevillerd.buena,vista,nan,nan,vp.k12.mo.us,2930690
448,webstergroves,MO,716n.leestreet,thomson,nan,nan,webster.k12.mo.us,2931530
457,marshall,MO,96perrystreet,colquitt,nan,nan,marshallschools.com,2920410
462,scotlandco.r-i,MO,108southharneystreet,camilla,nan,nan,scotland.k12.mo.us,2920700
470,hoke,NC,310wooleystreet,raeford,28376,9108754106,hcs.k12.nc.us,3702250
471,eminencer-1,MO,1065eastave,madison,nan,nan,redwingsk12.org,2911450
478,bloomfieldr-xiv,MO,2960maconroad-suite3047,columbus,nan,nan,bps14.org,2905250
480,hyde,NC,2109newtondrivep.o.box1469,covington,nan,nan,hyde.k12.nc.us,3702280
491,forsythr-iii,MO,735athensroad,lexington,nan,nan,forsythpanthers.org,2912240
492,bransonr-iv,MO,3236atlantahighway,dallas,nan,nan,branson.k12.mo.us,2905760
493,hollisterr-v,MO,900campusdrivefort,valley,nan,nan,hollister.k12.mo.us,2914550
496,successr-vi,MO,100d.b.carrollstreet,jasper,nan,nan,success.k12.mo.us,2929730
497,houstonr-i,MO,834eastmainst.pobox349,blackshear,nan,nan,houston.k12.mo.us,2914840
498,summersviller-ii,MO,7454hwy.19south,zebulon,nan,nan,svilleschools.com,2929810
499,lickingr-viii,MO,612scollegestreet,cedartown,nan,nan,licking.k12.mo.us,2918600
500,caboolr-iv,MO,158oldglenwoodspringroad,eatonton,nan,nan,cabool.k12.mo.us,2906430
503,nevadar-v,MO,p.o.box248215kaiglerroad,georgetown,nan,nan,nevada.k12.mo.us,2921840
504,bronaughr-vii,MO,98schooldrive,cuthbert,nan,nan,bronaughschools.net,2905910
507,wrightcityr-ii,MO,864broadstreet,augusta,nan,nan,wrightcity.k12.mo.us,1304380
508,warrenco.r-iii,MO,960pinestreetnep.o.box1199,conyers,nan,nan,warrencor3.org,2931050
509,kingstonk-14,MO,508eastsecondstreet,rome,nan,nan,kingston.k12.mo.us,2931140
510,potosir-iii,MO,208bullstreet,savannah,nan,nan,potosir3.org,2925500
511,richwoodsr-vii,MO,161perrydrivep.o.box66,ellaville,nan,nan,richwoodsr7.org,2931230
513,greenviller-ii,MO,pobox1668382halcyondaleroad,sylvania,nan,nan,bears.k12.mo.us,2913380
516,fordlandr-iii,MO,203e.6thstreet,donalsonville,nan,nan,fordland.k12.mo.us,2912180
521,hartviller-ii,MO,147alcovadrivesocial,circle,nan,nan,new.hartville.k12.mo.us,2913770
522,mountaingrover-iii,MO,191bigaschoolroad,toccoa,nan,nan,mg.k12.mo.us,2921510
640,nash,NC,930easternavenue,nashville,27856,2524595220,ncpschools.net,3703270
680,orange,NC,200eastkingstreet,hillsborough,27278,9197328126,orangecountyfirst.com,3703480
740,pitt,NC,1717westfifthstreet,greenville,27834,2528304200,tattnallschools.org,3700012
800,rowan-salisbury,NC,p.o.box2349,salisbury,28145,7046367500,rssed.org,3704050
820,sampson,NC,437rowanroad,clinton,28328,9105921401,sampson.k12.nc.us,3704140
910,vance,NC,1724grahamavenue,henderson,27536,2524922127,vcs.k12.nc.us,3704650
920,wakeystem,NC,404northbroadstreet3rdfloor,thomasville,nan,nan,wcpss.net,1304950
940,washington,NC,802washingtonstreet,plymouth,27962,2527935171,wcsnc.org,3704800
1020,associatedboardsofsouthdakota,SD,306e.capitolavepobox1059,pierre,57501,6057732500,asbsd.org,1305040
1058,bennett03-1,SD,67lakeviewcirstec,hiawassee,nan,nan,bennettco.k12.sd.us,4606240
1071,burke26-2,SD,5040souththirdstreet,soperton,nan,nan,burke.k12.sd.us,4609512
1075,castlewood28-1,SD,239simmonsstreet,trion,nan,nan,castlewood.k12.sd.us,4611280
1094,deuel19-4,SD,"100ndavisroad,buildingcp.o.box1228",lagrange,nan,nan,deuel.k12.sd.us,4600036
1097,dupree64-2,SD,p.o.box609423n.clevelandstreet,ashburn,nan,nan,dupree.k12.sd.us,4619450
1104,elkton5-3,SD,952emainstp.o.box232,jeffersonville,nan,nan,elkton.k12.sd.us,1305220
1105,frederickarea06-2,SD,pobox54071204williamsstreet,valdosta,nan,nan,frederickarea.k12.sd.us,4621400
1124,gregory26-4,SD,1001northstreetwest,vidalia,nan,nan,gregory.k12.sd.us,4629880
1126,haakon27-1,SD,pobox29201southdukestreetla,fayette,nan,nan,philip.k12.sd.us,4630490
1140,howard48-3,SD,1301baileystreet,waycross,nan,nan,howard.k12.sd.us,4600025
1146,iroquois2-3,SD,p.o.box228115gibsonhighway,warrenton,nan,nan,iroquois.k12.sd.us,1305460
1150,kimball,SD,710westpinestreet,jesup,nan,nan,kimball.k12.sd.us,1305550
1158,leola44-2,SD,136warriorspath,cleveland,nan,nan,leola.k12.sd.us,4641640
1166,mcintosh15-1,SD,3264clevelandhighway,dalton,nan,nan,mcintoshsd.cyberschool.com,4646260
1198,redfield56-4,SD,1147thavenue,rochelle,nan,nan,redfield.k12.sd.us,4660450
1209,sisseton54-2,SD,313analexanderave,washington,nan,nan,sisseton.k12.sd.us,4600053
1236,waubay18-3,SD,197westmainstreetpobox206,irwinton,nan,nan,waubay.k12.sd.us,4676680
1262,georgiadepartmentofeducation,GA,1562twintowerseast205jessehilljrdrive,atlanta,30334,4046562800,gadoe.org,1305850
1594,miller29-4,SD,5120sugarloafpkwy.,lawrenceville,nan,nan,miller.k12.sd.us,4647942
1595,asb,SD,306e.capitolavenue,pierre,57501,6057732500,asbsd.org,1300214
2001,montanaboardassociation,MT,863greatnorthernblvdsuite301,helena,59601,4064422180,mtsba.org,1300214
2002,montanasamplesite,MT,123abcstreet,helena,59604,4061234567,mtsba.org,101920
2003,jefferson,AL,210018thstreetsouth,birmingham,35209,2053792000,jefcoed.com,101920
2005,birminghamcity,AL,2015parkplacenorth,birmingham,35203,2052314600,bhm.k12.al.us,100390
2006,tuscumbiacity,AL,303northcommonsstreeteast,tuscumbia,35674,2563892900,tuscumbia.k12.al.us,103420
2009,hartsellecity,AL,305collegestreetne,hartselle,35640,2567735419,hartselletigers.org,101730
2013,brewtoncity,AL,811bellevilleavenue,brewton,36426,2518678400,brewtoncityschools.org,100450
2014,sumter,AL,p.o.box10-716countryclubroad,livingston,35470,2056529605,sumter.k12.al.us,103090
2017,lauderdale,AL,355countyroad61,florence,35631,2567601300,lcschools.org,102010
2032,st.clair,AL,410roydrive,ashville,35953,2055947131,sccboe.org,100005
2037,albertvillecity,AL,105westmainstreet,albertville,35950,2568911183,albertk12.org,100005
2040,escambiabdofed,AL,301bellevilleavenue,brewton,36426,2518676251,escambiak12.net,100194
2045,guntersvillecity,AL,3160pelhamparkway,pelham,nan,nan,guntersvilleboe.com,101690
2048,talladegacity,AL,43southjacksonstreet,montgomery,nan,nan,talladega-cs.net,103150
2050,limestone,AL,300s.jeffersonst.,athens,nan,nan,lcsk12.org,102100
2052,auburncity,AL,855eastsamfordavenue,auburn,36830,3348872100,auburnschools.org,100210
2053,tallasseecity,AL,1234iasbway,dreamfield,nan,nan,tcschools.com,103240
2054,conecuhboardofeducation,AL,1455tedbatesroad,evergreen,36401,2515781752,conecuh.k12.al.us,102490
2055,mountainbrook,AL,32vinestreetmountain,brook,35213,2058714608,mtnbrook.k12.al.us,103450
2057,walker,AL,1710alabamaavenue,jasper,35501,2053870555,walkercountyschools.com,103450
2058,dothancity,AL,"1665honeysuckleroad,suite1",dothan,36305,3347931397,dothan.k12.al.us,101230
2059,marshall,AL,12380hwy431s,guntersville,35976,nan,marshallk12.org,100006
2070,coffee,AL,400reddochhillrd,elba,36323,3348975016,coffeecountyschools.org,100810
2077,mobile,AL,1magnumpass,mobile,36618,2512214000,mcpss.com,102370
2084,athenscity,AL,455ushighway31north,athens,35611,2562336600,acs-k12.org,100120
2086,blount,AL,4155thavenueeast,oneonta,35121,2057751950,blountboe.net,100420
2088,tuscaloosacity,AL,1210almonavenue,tuscaloosa,35401,2057593560,tuscaloosacityschools.com,103360
2091,leedscity,AL,1517hurstavenue,leeds,35094,2056995437,leedsk12.org,100011
2092,tuscaloosa,AL,1118greensboroavenue,tuscaloosa,35401,2057580411,tcss.net,103390
2093,tarrantcity,AL,1318alabamastreet,tarrant,35217,2058493700,tarrant.k12.al.us,103270
2095,phenixcity,AL,1212ninthavenue,phenixcity,36867,3342980534,pcboe.net,102700
2098,midfieldcity,AL,417parkwoodstreet,midfield,35228,2059232262,midfield.k12.al.us,102350
2101,chilton,AL,1705laydamroad,clanton,35045,2052803000,chilton.k12.al.us,100660
2108,elmore,AL,100h.h.robisondrivep.o.box817,wetumpka,36092,3345671200,elmoreco.com,101290
2113,macon,AL,303unionspringsroad,tuskegee,36083,3347271600,maconk12.org,102190
2115,monroe,AL,109rosenwalddrive,monroeville,36460,2515752168,monroe.k12.al.us,102400
2117,homewoodcity,AL,450daleave,homewood,35209,2058704203,homewood.k12.al.us,101760
2122,selmacity,AL,2194broadstreet,selma,36701,3348741600,selmacityschools.org,102970
2125,bessemercity,AL,16215thavenuenorthp.o.box1230,bessemer,35021,2054323000,bessk12.org,100330
2134,sylacaugacity,AL,43n.broadwayavenue,sylacauga,35150,2562455256,scsboe.org,103120
3561,lumenscholarinstitute,UT,1353west760north,orem,84057,8019879497,lumenscholar.org,4900182
3700,rolla31,MO,500aforumdrive,rolla,65401,5734580100,rolla31.org,2926890
4002,appling,GA,200s.garnavillostreet,anamosa,nan,nan,appling.k12.ga.us,1300060
4003,atkinson,GA,98erobertsave,pearson,31642-9241,9124227373,atkinson.k12.ga.us,1300090
