simbli_id,school_name,state,address,city,zipcode,phone_number,fax_number,website
185,South Harrison Co. R-II,MO,,,,,,https://www.shr2.k12.mo.us/
190,Chatham County Schools,NC,468 Renaissance Drive,Pittsboro,27312,9195423626,9195421980,http://www.chatham.k12.nc.us
204,Fayette R-III,MO,,,,,,https://www.fayette.k12.mo.us/
207,Mtn View-Birch Tree R-III,MO,,,,,,https://home.liberty.mvbt.k12.mo.us/
208,Willow Springs R-IV,MO,,,,,,https://www.willowbears.com/
210,West Plains R-VII,MO,,,,,,https://www.zizzers.org/
212,Junction Hill C-12,MO,,,,,,https://www.junctionhill.k12.mo.us/
213,Fairview R-XI,MO,,,,,,https://www.fvflyers.com/
214,South Iron Co. R-I,MO,,,,,,https://www.sipanthers.k12.mo.us/home
215,Arcadia Valley R-II,MO,,,,,,https://www.avr2.org/
217,Iron Co. C-4,MO,,,,,,http://ironc4.k12.mo.us/
220,Grain Valley R-V ,MO,,,,,,https://www.grainvalleyschools.org/
221,Oak Grove R-VI,MO,,,,,,http://www.oakgrove.k12.mo.us/
223,Hickman Mills C-I School,MO,5401 E 103rd Street,Kansas City,64137,8163167000,8163167020,https://www.hickmanmills.org/
224,Raytown C-2,MO,,,,,,https://www.raytownschools.org/
225,Grandview C-4,MO,13015 10th Street,Grandview,64030,8163165000,8163165050,http://www.grandviewc4.net
228,Kansas City Public Schools,MO,2901 Troost Ave.,Kansas City,64109,8164187000,,http://www.kcpublicschools.org
229,Center 58,MO,8434 Paseo Ave,Kansas City,64131,8163493300,,http://www.center.k12.mo.us/
230,Carl Junction R-I,MO,,,,,,https://www.cjr1.org/
231,Avilla R-XIII,MO,,,,,,https://www.avillapanthers.org/
233,Sarcoxie R-II,MO,,,,,,https://www.sarcoxieschools.com/
236,Joplin Schools,MO,Joplin Administration Building 825 S. Pearl Avenue,Joplin,64801,4176255200,4176255297,http://www.joplinschools.org
239,Hillsboro R-3,MO,,,,,,https://www.hsdr3.org/
240,Dunklin R-V,MO,497 Joachim Ave.,Herculaneum,63048,6364795200,6364796208,https://www.dunklin.k12.mo.us/
241,Festus R-VI,MO,,,,,,https://www.festus.k12.mo.us/
242,Jefferson Co. R-VII,MO,,,,,,https://www.jr7.k12.mo.us/
244,Windsor C-1,MO,,,,,,https://www.windsorc1.com/
245,Fox C-6 School District,MO,,,,,,http://www.fox.k12.mo.us
246,Crystal City 47,MO,1100 Mississippi Avenue,Crystal City,63019,,,https://www.crystal.k12.mo.us/
249,Holden R-III,MO,,,,,,https://www.holdenschools.org/
250,Craven County Schools,NC,3600 Trent Road  New,Bern,28562,2525146300,,http://www.cravenk12.org
252,Knob Noster R-VIII,MO,,,,,,https://www.knobnoster.k12.mo.us/
256,Laclede Co. R-I,MO,,,,,,https://www.lacledecountyr1.com/
258,Lebanon R-III,MO,,,,,,https://lebanonr3.org/
259,Laclede C-5,MO,,,,,,https://www.jebc5.k12.mo.us/
269,Mt. Vernon R-V,MO,,,,,,https://www.mtvernon.k12.mo.us/
270,Currituck County Schools,NC,2958 Caratoke Highway.,Currituck,27929-9612,2522322223,2522323655,http://www.currituck.k12.nc.us
271,Aurora R-VIII,MO,,,,,,https://www.aurorar8.org/
273,Lewis Co. C-1,MO,,,,,,https://www.lewis.k12.mo.us/
277,Winfield R-IV,MO,,,,,,https://www.winfield.k12.mo.us/
282,Brookfield R-III,MO,,,,,,https://www.brookfieldr3.org/
285,Chillicothe R-II,MO,,,,,,https://www.chillicotheschools.org/
286,McDonald Co. R-I,MO,,,,,,https://www.mcdonaldr1.net/
289,La Plata R-II,MO,,,,,,https://www.laplata.k12.mo.us/
290,Macon Co. R-I,MO,,,,,,https://www.macon.k12.mo.us/
294,Fredericktown R-I,MO,,,,,,https://www.fpsk12.org/s16/
295,Maries Co. R-I,MO,,,,,,http://www.mariesr1.k12.mo.us
298,Palmyra R-I,MO,,,,,,https://www.palmyra.k12.mo.us/
302,Eldon R-I,MO,,,,,,https://eldonmustangs.org/
305,School of the Osage,MO,,,,,,https://osageschools.org/home
306,Iberia R-V,MO,,,,,,https://www.iberia.k12.mo.us/
308,Charleston R-I,MO,,,,,,https://www.charlestonbluejays.org/
312,Tipton R-VI,MO,,,,,,https://www.tipton.k12.mo.us/
321,Montgomery Co. R-II,MO,,,,,,https://www.mc-wildcats.org/
322,Morgan Co. R-I,MO,,,,,,https://www.mcr1.us/
323,Morgan Co. R-II,MO,,,,,,https://www.versaillestigers.org/
324,Risco R-II,MO,,,,,,https://www.risco.k12.mo.us/
326,Gideon 37,MO,,,,,,https://gideon.k12.mo.us/
327,New Madrid Co. R-I,MO,,,,,,https://www.nmceaglenation.com/
328,East Newton Co. R-VI,MO,22808 East Highway 86,Granby,64844,4174726231,4174723500,https://www.eastnewton.org/
329,Diamond R-IV,MO,401 South Main,Diamond,64840,4173255336,,http://www.diamondwildcats.org
331,Seneca R-7 School District,MO,914 Frisco Street,Seneca,64865,4177763426,4177762177,http://senecar7.com
332,Neosho School District,MO,418 Fairground Road,Neosho,64850,4174518600,,http://www.neoshosd.org/
337,North Nodaway Co. R-VI,MO,,,,,,https://nnr6.org/
338,Maryville R-II,MO,1501 S Munn Ave,Maryville,64468-2756,6605623255,,http://www.maryville.k12.mo.us
341,Thayer R-II,MO,,,,,,http://thayer.k12.mo.us
342,Oregon-Howell R-III,MO,,,,,,https://www.koshkonongschool.org/
343,Alton R-IV,MO,,,,,,https://www.alton.k12.mo.us/
346,Osage Co. R-III,MO,,,,,,https://www.fatimacomets.org/
349,Gainesville R-V,MO,,,,,,https://www.gainesvillebulldogs.com/
350,Dora R-III,MO,,,,,,https://www.dora.org/
356,South Pemiscot R-V,MO,,,,,,https://www3.southpemiscot.com/
358,Caruthersville 18,MO,,,,,,https://www.cps18.org/
360,Perry County 32,MO,,,,,,http://www.perryville.k12.mo.us
364,Smithton R-VI,MO,,,,,,https://www.smithton.k12.mo.us/
368,St. James R-I,MO,,,,,,http://www.stjschools.org
370,Gates County Public Schools,NC,P.O Box 125 205 Main Street,Gatesville,27938,2523571113,2523570207,http://coserver.gates.k12.nc.us/
372,Bowling Green R-I,MO,,,,,,https://www.bgschools.k12.mo.us/
373,Pike Co. R-III (Clopton),MO,28176 Hwy WW,Clarksville,63336,5732423546,5734852393,http://www.cloptonhawks.com
375,Louisiana R-II,MO,,,,,,http://www.louisiana.k12.mo.us/
378,Platte Co. R-III,MO,,,,,,https://www.plattecountyschooldistrict.com/
380,Bolivar R-I,MO,,,,,,https://www.bolivarschools.org/
384,Marion C. Early R-V,MO,,,,,,https://www.mcepanthers.com/
389,Waynesville R-VI,MO,,,,,,https://www.waynesville.k12.mo.us/
391,Crocker R-II,MO,,,,,,https://www.crockerschools.org/
396,Higbee R-VIII,MO,,,,,,http://www.higbeeschool.com
397,Westran R-I,MO,,,,,,https://www.westran.k12.mo.us/
398,Moberly School District,MO,926 Shepherd Brothers Blvd.,Moberly,65270,6602692600,6602692611,http://www.moberly.k12.mo.us
403,Richmond R-XVI,MO,,,,,,https://www.richmond.k12.mo.us/
405,Southern Reynolds Co R-II,MO,,,,,,https://www.ewhippets.com/
406,Bunker R-III,MO,,,,,,http://www.bunkerr3.k12.mo.us
407,Lesterville R-IV,MO,,,,,,https://lesterville.k12.mo.us/
411,Ripley Co. R-III,MO,,,,,,https://ripleyr3.k12.mo.us/District/
415,St. Charles R-VI,MO,,,,,,https://mo01910164.schoolwires.net/
416,Orchard Farm R-V,MO,,,,,,https://www.ofsd.k12.mo.us/
417,Appleton City R-II,MO,,,,,,https://www.appletoncity.k12.mo.us/
420,Halifax County Schools,NC,9625 Hwy 301 S,Halifax,27839,2525835111,2525831474,http://www.halifax.k12.nc.us/
421,Roanoke Rapids Graded School District,NC,536 Hamilton Street  Roanoke,Rapids,27870,2525197100,2525197195,http://www.rrgsd.org/
422,Farmington R-VII,MO,,,,,,https://www.fsdknights.com/
426,Ste. Genevieve R-II,MO,,,,,,http://www.sgdragons.org
427,Hazelwood,MO,,,,,,https://www.hazelwoodschools.org/
428,Ferguson-Florissant R-II,MO,8855 Dunn Road,Hazelwood,63042,3146871910,,http://www.fergflor.org
431,Kirkwood R-VII,MO,,,,,,https://www.kirkwoodschools.org/
432,Lindbergh,MO,,,,,,https://go.lindberghschools.ws/home
433,Mehlville School District,MO,3120 Lemay Ferry Road  St.,Louis,63125,3144675000,3144675099,http://www.mehlvilleschooldistrict.com/
435,Affton 101,MO,,,,,,https://www.afftonschools.net/
436,Bayless,MO,,,,,,http://www.baylessk12.org/
437,Brentwood School District,MO,2221 High School Dr.,Brentwood,63144,3149624507,,https://www.brentwoodmoschools.org/
438,Clayton,MO,,,,,,https://www.claytonschools.net/
440,Jennings,MO,,,,,,https://www.jenningsk12.org/aboutjsd
441,Ladue,MO,,,,,,https://www.ladueschools.net/
442,Maplewood Richmond Heights,MO,2531 S. Big Bend,Maplewood,63143,3146444400,,https://www.mrhschools.net/Page/1
443,Normandy Schools Collaborative,MO,,,,,,https://www.normandysc.org/
445,Riverview Gardens,MO,,,,,,https://riverviewgsd.schoolinsites.com/
446,University City,MO,,,,,,https://www.ucityschools.org/
447,Valley Park,MO,,,,,,https://www.vp.k12.mo.us/
448,Webster Groves,MO,,,,,,https://www.webster.k12.mo.us/
457,Marshall,MO,,,,,,https://www.marshallschools.com/
462,Scotland Co. R-I,MO,,,,,,https://scotland.k12.mo.us/
470,Hoke County Schools,NC,310 Wooley Street,Raeford,28376,9108754106,9108753362,http://www.hcs.k12.nc.us/
471,Eminence R-1,MO,,,,,,http://www.redwingsk12.org
478,Bloomfield R-XIV,MO,,,,,,https://www.bps14.org/
480,Hyde County Schools,NC,,,,,,http://hyde.k12.nc.us/
491,Forsyth R-III,MO,,,,,,https://www.forsythpanthers.org/
492,Branson R-IV,MO,,,,,,https://www.branson.k12.mo.us/
493,Hollister R-V,MO,,,,,,https://www.hollister.k12.mo.us/
496,Success R-VI,MO,,,,,,http://success.k12.mo.us/
497,Houston R-I,MO,,,,,,https://www.houston.k12.mo.us/domain/95
498,Summersville R-II,MO,,,,,,https://svilleschools.com/
499,Licking R-VIII,MO,,,,,,https://www.licking.k12.mo.us/
500,Cabool R-IV,MO,,,,,,https://www.cabool.k12.mo.us/home
503,Nevada R-V,MO,,,,,,https://www.nevada.k12.mo.us/
504,Bronaugh R-VII,MO,,,,,,http://www.bronaughschools.net
507,Wright City R-II,MO,,,,,,https://www.wrightcity.k12.mo.us/
508,Warren Co. R-III,MO,,,,,,https://www.warrencor3.org/
509,Kingston K-14,MO,,,,,,https://kingston.k12.mo.us/
510,Potosi R-III,MO,,,,,,https://potosir3.org/
511,Richwoods R-VII,MO,,,,,,https://www.richwoodsr7.org/
513,Greenville R-II,MO,,,,,,https://www.bears.k12.mo.us/
516,Fordland R-III,MO,,,,,,https://www.fordland.k12.mo.us/
521,Hartville R-II,MO,,,,,,http://new.hartville.k12.mo.us/
522,Mountain Grove R-III,MO,,,,,,https://www.mg.k12.mo.us/
640,Nash County Public Schools,NC,930 Eastern Avenue,Nashville,27856,2524595220,,http://www.ncpschools.net
680,Orange County Schools,NC,200 East King Street,Hillsborough,27278,9197328126,,http://www.orangecountyfirst.com/
740,Pitt County Schools,NC,1717 West Fifth Street,Greenville,27834,2528304200,,
800,Rowan-Salisbury School District,NC,P.O. Box 2349,Salisbury,28145,7046367500,,http://rssed.org
820,Sampson County Schools,NC,437 Rowan Road,Clinton,28328,9105921401,9105902445,http://www.sampson.k12.nc.us
910,Vance County Schools,NC,1724 Graham Avenue,Henderson,27536,2524922127,2524386119,http://www.vcs.k12.nc.us/
920,Wake County Public School System,NC,,,,,,http://www.wcpss.net/
940,Washington County Schools,NC,802 Washington Street,Plymouth,27962,2527935171,2527935062,http://www.wcsnc.org
1020,Associated School Boards of South Dakota,SD,306 E. Capitol Ave PO Box 1059,Pierre,57501,6057732500,6057732501,http://asbsd.org/
1058,Bennett County School District 03-1,SD,,,,,,http://www.bennettco.k12.sd.us
1071,Burke School District 26-2,SD,,,,,,http://www.burke.k12.sd.us
1075,Castlewood School District 28-1,SD,,,,,,http://www.castlewood.k12.sd.us/
1094,Deuel School District 19-4,SD,,,,,,http://deuel.k12.sd.us/
1097,Dupree School District 64-2,SD,,,,,,http://www.dupree.k12.sd.us/
1104,Elkton School District 5-3,SD,,,,,,http://elkton.k12.sd.us/
1105,Frederick Area School District 06-2,SD,,,,,,http://www.frederickarea.k12.sd.us
1124,Gregory School District 26-4,SD,,,,,,http://www.gregory.k12.sd.us
1126,Haakon School District 27-1,SD,,,,,,http://www.philip.k12.sd.us
1140,Howard School District 48-3,SD,,,,,,http://www.howard.k12.sd.us
1146,Iroquois School District 2-3,SD,,,,,,https://www.iroquois.k12.sd.us/
1150,Kimball School District,SD,,,,,,http://www.kimball.k12.sd.us
1158,Leola School District 44-2,SD,,,,,,http://leola.k12.sd.us/
1166,McIntosh School District 15-1,SD,,,,,,http://mcintoshsd.cyberschool.com
1198,Redfield School District 56-4,SD,,,,,,http://www.redfield.k12.sd.us/
1209,Sisseton School District 54-2,SD,,,,,,http://sisseton.k12.sd.us/default.aspx
1236,Waubay School District 18-3,SD,,,,,,http://www.waubay.k12.sd.us
1262,Georgia Department of Education,GA,1562 Twin Towers East 205 Jesse Hill Jr Drive,Atlanta,30334,4046562800,,http://www.gadoe.org
1594,Miller School District 29-4,SD,,,,,,http://www.miller.k12.sd.us
1595,ASBSD,SD,306 E. Capitol Avenue,Pierre,57501,6057732500,6057732501,http://www.asbsd.org
2001,Montana School Board Association,MT,863 Great Northern Blvd Suite 301,Helena,59601,4064422180,4064422194,http://www.mtsba.org
2002,Montana Sample Site,MT,123 ABC Street,Helena,59604,4061234567,4068910111,http://www.mtsba.org
2003,Jefferson County Schools,AL,2100 18th Street South,Birmingham,35209,2053792000,,http://www.jefcoed.com/
2005,Birmingham City Schools,AL,2015 Park Place North,Birmingham,35203,2052314600,2052314761,http://www.bhm.k12.al.us
2006,Tuscumbia City Schools,AL,303 North Commons Street East,Tuscumbia,35674,2563892900,2563892903,http://www.tuscumbia.k12.al.us/
2009,Hartselle City Schools,AL,305 College Street NE,Hartselle,35640,2567735419,2567735433,http://www.hartselletigers.org
2013,Brewton City Schools,AL,811 Belleville Avenue,Brewton,36426,2518678400,2518678403,http://www.brewtoncityschools.org
2014,Sumter County Schools,AL,P.O. Box 10  -   716 Country Club Road,Livingston,35470,2056529605,2056529641,http://www.sumter.k12.al.us/
2017,Lauderdale County Schools,AL,355 County Road 61,Florence,35631,2567601300,2567665815,http://www.lcschools.org/
2032,St. Clair County Schools,AL,410 Roy Drive,Ashville,35953,2055947131,,http://www.sccboe.org/
2037,Albertville City Schools,AL,105 West Main Street,Albertville,35950,2568911183,2568916303,http://www.albertk12.org/
2040,Escambia County Bd of Ed,AL,301 Belleville Avenue,Brewton,36426,2518676251,2518676252,http://escambiak12.net
2045,Guntersville City Schools,AL,,,,,,http://www.guntersvilleboe.com
2048,Talladega City Schools,AL,,,,,,http://www.talladega-cs.net/
2050,Limestone County Schools,AL,300 S. Jefferson St.,Athens,,,,http://www.lcsk12.org
2052,Auburn City Schools,AL,855 East Samford Avenue,Auburn,36830,3348872100,3348872107,http://www.auburnschools.org/
2053,Tallassee City Schools,AL,,,,,,http://www.tcschools.com
2054,Conecuh County Board of Education,AL,1455 Ted Bates Road,Evergreen,36401,2515781752,25115787061,http://www.conecuh.k12.al.us/
2055,Mountain Brook Schools,AL,32 Vine Street  Mountain,Brook,35213,2058714608,2058778303,http://www.mtnbrook.k12.al.us
2057,Walker County Schools,AL,1710 Alabama Avenue,Jasper,35501,2053870555,,http://www.walkercountyschools.com
2058,Dothan City Schools,AL,"1665 Honeysuckle Road, Suite 1",Dothan,36305,3347931397,3347932034,http://www.dothan.k12.al.us/
2059,Marshall County Schools,AL,12380 Hwy 431 S,Guntersville,35976,,,http://marshallk12.org/
2070,Coffee County Schools,AL,400 Reddoch Hill Rd,Elba,36323,3348975016,3348976207,http://www.coffeecountyschools.org/
2077,Mobile County Public Schools,AL,1 Magnum Pass,Mobile,36618,2512214000,,http://www.mcpss.com
2084,Athens City Schools,AL,455 US Highway 31 North,Athens,35611,2562336600,2562336640,http://www.acs-k12.org/
2086,Blount County Schools,AL,415 5th Avenue East,Oneonta,35121,2057751950,,http://www.blountboe.net
2088,Tuscaloosa City Schools,AL,1210 Almon Avenue,Tuscaloosa,35401,2057593560,2057593711,http://www.tuscaloosacityschools.com/
2091,Leeds City Schools,AL,1517 Hurst Avenue,Leeds,35094,2056995437,2056996629,http://www.leedsk12.org
2092,Tuscaloosa County Schools,AL,1118 Greensboro Avenue,Tuscaloosa,35401,2057580411,,http://www.tcss.net/
2093,Tarrant City Schools,AL,1318 Alabama Street,Tarrant,35217,2058493700,2058493728,http://www.tarrant.k12.al.us
2095,Phenix City Schools,AL,1212 Ninth Avenue,Phenix City,36867,3342980534,3342982674,http://www.pcboe.net/
2098,Midfield City Schools,AL,417 Parkwood Street,Midfield,35228,2059232262,2059290585,http://www.midfield.k12.al.us
2101,Chilton County Schools,AL,1705 Lay Dam Road,Clanton,35045,2052803000,2057556457,http://www.chilton.k12.al.us
2108,Elmore County Schools,AL,100 H. H. Robison Drive P. O. Box 817,Wetumpka,36092,3345671200,3345671405,http://www.elmoreco.com/
2113,Macon County Schools,AL,303 Union Springs Road,Tuskegee,36083,3347271600,3347249990,http://www.maconk12.org/
2115,Monroe County Schools,AL,109 Rosenwald Drive,Monroeville,36460,2515752168,2515759353,http://www.monroe.k12.al.us
2117,Homewood City Schools,AL,450 Dale Ave,Homewood,35209,2058704203,2058774544,http://www.homewood.k12.al.us/
2122,Selma City Schools,AL,2194 Broad Street,Selma,36701,3348741600,3348741604,http://www.selmacityschools.org/
2125,Bessemer City Schools,AL,1621 5th Avenue North P.O. Box 1230,Bessemer,35021,2054323000,2054323085,http://www.bessk12.org/
2134,Sylacauga City Schools,AL,43 N. Broadway Avenue,Sylacauga,35150,2562455256,,http://www.scsboe.org
3561,Lumen Scholar Institute,UT,1353 West 760 North,Orem,84057,8019879497,,http://lumenscholar.org
3700,Rolla 31,MO,500A Forum Drive,Rolla,65401,5734580100,5734580105,https://www.rolla31.org/
4002,Appling County Schools,GA,,,,,,http://www.appling.k12.ga.us
4003,Atkinson County Schools,GA,98 E Roberts Ave,Pearson,31642-9241,9124227373,9124227369,http://www.atkinson.k12.ga.us/
4005,Bacon County Schools,GA,102 W 4th St,Alma,31510-2447,9126327363,9126322454,http://www.bcraiders.com
4007,Baldwin County Schools,GA,110 N. ABC Street P. O. Box 1188,Milledgeville,31059,4784573303,4784533327,http://www.baldwincountyschoolsga.org/
4008,Banks County Schools,GA,PO Box 248 102 Hwy 51 South,Homer,30547-0248,7066772224,7066772224,http://www.banks.k12.ga.us
4009,Barrow County School System,GA,179 W. Athens Street,Winder,30680-0767,7708674527,7708674540,http://www.barrow.k12.ga.us
4010,Bartow County Schools,GA,65 Gilreath Rd NW P.O. Box 200007,Cartersville,30121-5016,7706065800,7706065855,http://www.bartow.k12.ga.us
4011,Ben Hill County Schools,GA,509 West Palm Street,Fitzgerald,31750-3253,2294095500,2294095513,http://www.ben-hill.k12.ga.us
4012,Berrien County Schools,GA,P.O. Box 625 810 South Dogwood Drive,Nashville,31639,2296862081,9126869002,http://www.berrienschools.org
4013,Bibb County School District,GA,484 Mulberry St P. O. Box 6157,Macon,31201,4787658711,4787658549,http://www.bcsdk12.net
4014,Bleckley County Schools,GA,259 East Peter Street,Cochran,31014-2045,4789342821,4789349595,http://www.bleckley.k12.ga.us
4015,Brantley County Schools,GA,272 School Circle,Nahunta,31553,9124626176,9124626731,http://www.brantley.k12.ga.us
4016,Bremen City Schools,GA,501 Pacific Avenue,Bremen,30110-2128,7705375508,7705370610,http://www.bremencs.com
4017,Brooks County Schools,GA,,,,,,https://www.brooks.k12.ga.us/
4018,Bryan County Schools,GA,,,,,,http://www.bryan.k12.ga.us
4019,Buford City Schools,GA,2625 Sawnee Avenue,Buford,30518,7709455035,7709454629,http://www.bufordcityschools.org
4020,Bulloch County Schools,GA,"150 Williams Road, Suite #A",Statesboro,30458-1398,9122128500,9122128529,http://www.bulloch.k12.ga.us
4021,Burke County Schools,GA,789 Burke Veterans Parkway,Waynesboro,30830-0908,7065545101,7065548051,http://www.burke.k12.ga.us
4022,Butts County Schools,GA,,,,,,http://www.butts.k12.ga.us
4023,Calhoun City Schools,GA,334 South Wall Street,Calhoun,30701,7066292900,7066293235,http://www.calhounschools.org
4024,Calhoun County Schools,GA,18772 Hartford St.,Edison,39846,2295457231,2296002011,http://www.calhoun.k12.ga.us
4025,Camden County Schools,GA,311 South East Street,Kingsland,31548,9127295687,,http://www.camden.k12.ga.us
4026,Candler County Schools,GA,210 S College St,Metter,30439-1802,9126855713,9126853755,http://www.metter.org
4027,Carroll County Schools,GA,164 Independence Dr,Carrollton,30116-7506,7708323568,7708346399,http://www.carrollcountyschools.com
4028,Carrollton City Schools,GA,106 Trojan Dr,Carrollton,30117-4327,7708329633,7708349950,http://www.carrolltoncityschools.net
4029,Cartersville City Schools,GA,P.O. Box 3310 15 Nelson Street,Cartersville,30120-4027,7703825880,7703877476,http://www.cartersvilleschools.org
4030,Catoosa County Public Schools,GA,307 Cleveland Street PO Box 130,Ringgold,30736-0130,7069652297,7069658913,http://www.catoosa.k12.ga.us
