classification,index
school_district,0
school_district,2
school_district,6
school_district,9
school_district,10
school_district,12
school_district,15
school_district,16
school_district,20
drop,21
school_district,24
unsure,26
school_district,29
school_district,32
school_district,35
school_district,36
school_district,38
school_district,39
school_district,41
school_district,42
school_district,44
school_district,46
school_district,47
school_district,49
school_district,54
school_district,57
school_district,59
school_district,61
school_district,62
school_district,63
school_district,65
school_district,67
school_district,69
school_district,71
school_district,72
school_district,76
school_district,79
school_district,80
school_district,82
school_district,85
school_district,93
school_district,94
school_district,97
school_district,99
school_district,100
school_district,101
school_district,102
drop,106
school_district,109
school_district,110
school_district,111
school_district,112
school_district,116
school_district,118
school_district,120
school_district,121
drop,125
school_district,127
school_district,128
school_district,129
school_district,130
school_district,131
school_district,133
school_district,135
drop,136
drop,138
school_district,139
school_district,140
school_district,141
school_district,144
school_district,147
school_district,149
school_district,150
school_district,153
school_district,159
school_district,160
school_district,162
school_district,163
unsure,165
school_district,168
school_district,169
school_district,172
school_district,173
school_district,175
school_district,176
school_district,177
school_district,180
school_district,183
school_district,184
school_district,186
school_district,189
school_district,191
school_district,192
school_district,193
school_district,194
school_district,195
school_district,196
school_district,200
school_district,202
school_district,203
school_district,205
school_district,206
school_district,207
school_district,209
school_district,212
school_district,213
school_district,215
school_district,216
school_district,221
school_district,222
school_district,224
school_district,225
drop,226
school_district,228
school_district,229
school_district,239
school_district,240
drop,244
school_district,248
school_district,249
school_district,251
school_district,253
school_district,254
school_district,260
school_district,261
school_district,262
unsure,269
school_district,270
school_district,273
school_district,276
school_district,278
school_district,279
drop,281
school_district,282
school_district,283
school_district,284
school_district,285
school_district,289
school_district,296
school_district,297
school_district,298
drop,299
school_district,302
unsure,303
school_district,305
school_district,306
school_district,309
drop,311
drop,314
school_district,316
school_district,317
school_district,318
unsure,320
school_district,322
school_district,324
school_district,325
school_district,330
school_district,331
school_district,336
school_district,338
school_district,342
school_district,343
school_district,345
school_district,349
school_district,350
school_district,354
school_district,356
school_district,357
school_district,359
school_district,360
school_district,361
school_district,366
school_district,368
school_district,370
school_district,374
school_district,376
school_district,378
school_district,379
school_district,381
school_district,382
school_district,383
school_district,387
school_district,389
school_district,391
school_district,401
school_district,402
school_district,407
school_district,408
school_district,409
school_district,412
school_district,414
school_district,415
school_district,420
school_district,422
school_district,424
school_district,427
school_district,428
school_district,429
school_district,430
school_district,431
drop,432
school_district,440
school_district,441
school_district,442
school_district,445
school_district,446
school_district,450
drop,451
school_district,458
school_district,459
school_district,460
school_district,461
school_district,467
school_district,474
school_district,475
school_district,477
school_district,478
school_district,479
school_district,481
school_district,483
school_district,484
school_district,485
school_district,489
school_district,490
school_district,491
school_district,492
drop,493
school_district,495
school_district,497
school_district,499
drop,502
school_district,503
school_district,504
school_district,506
school_district,509
school_district,510
school_district,513
school_district,514
school_district,515
school_district,516
school_district,518
school_district,519
school_district,520
school_district,522
school_district,523
school_district,524
school_district,527
school_district,532
school_district,535
school_district,536
school_district,537
school_district,541
school_district,545
school_district,548
school_district,550
school_district,553
school_district,555
school_district,560
school_district,561
drop,570
school_district,571
school_district,572
school_district,574
school_district,576
school_district,581
school_district,584
school_district,587
school_district,590
school_district,591
school_district,592
school_district,598
school_district,599
school_district,604
school_district,605
school_district,614
school_district,615
school_district,617
unsure,620
school_district,621
school_district,624
school_district,627
school_district,628
school_district,630
school_district,633
school_district,636
school_district,638
school_district,639
school_district,641
school_district,644
school_district,645
school_district,646
school_district,647
school_district,648
school_district,650
school_district,655
school_district,656
school_district,662
school_district,663
school_district,664
school_district,665
school_district,668
school_district,682
school_district,683
school_district,686
school_district,688
school_district,693
school_district,703
school_district,704
school_district,707
drop,713
school_district,715
school_district,717
unsure,721
school_district,724
school_district,727
school_district,729
school_district,730
school_district,732
school_district,733
school_district,735
school_district,736
school_district,740
school_district,741
school_district,743
school_district,746
school_district,748
school_district,751
school_district,752
school_district,754
school_district,758
school_district,760
school_district,761
school_district,763
school_district,766
school_district,773
school_district,775
school_district,778
school_district,784
school_district,786
school_district,788
school_district,793
school_district,794
school_district,795
school_district,798
school_district,801
school_district,806
school_district,811
school_district,812
school_district,814
school_district,817
school_district,818
school_district,819
school_district,821
school_district,824
school_district,827
school_district,828
school_district,829
school_district,830
school_district,833
school_district,834
school_district,839
school_district,840
school_district,844
school_district,848
school_district,850
school_district,851
school_district,854
drop,858
school_district,861
school_district,862
school_district,866
school_district,867
school_district,873
school_district,884
school_district,885
school_district,886
school_district,890
school_district,895
school_district,898
school_district,900
school_district,903
school_district,908
school_district,912
school_district,915
school_district,917
school_district,920
school_district,921
school_district,922
school_district,923
school_district,925
school_district,928
school_district,933
school_district,934
school_district,936
school_district,938
school_district,939
school_district,942
school_district,943
school_district,946
school_district,953
school_district,954
school_district,956
school_district,965
school_district,966
school_district,967
school_district,968
school_district,969
school_district,974
school_district,976
school_district,979
school_district,980
school_district,982
school_district,983
school_district,985
school_district,986
school_district,989
school_district,994
school_district,995
school_district,999
school_district,1003
school_district,1006
school_district,1009
school_district,1011
school_district,1012
school_district,1013
school_district,1015
school_district,1018
school_district,1022
school_district,1024
school_district,1027
school_district,1028
school_district,1032
school_district,1033
school_district,1037
school_district,1038
school_district,1045
unsure,1047
school_district,1050
school_district,1051
school_district,1054
school_district,1055
school_district,1056
school_district,1057
school_district,1061
school_district,1063
school_district,1068
school_district,1077
school_district,1078
unsure,1079
school_district,1080
school_district,1084
school_district,1085
school_district,1086
school_district,1090
school_district,1098
school_district,1102
school_district,1107
school_district,1108
school_district,1110
school_district,1111
school_district,1112
school_district,1115
school_district,1119
school_district,1120
school_district,1122
school_district,1130
school_district,1131
school_district,1132
school_district,1136
drop,1139
school_district,1140
school_district,1142
school_district,1150
school_district,1151
school_district,1152
school_district,1153
school_district,1155
school_district,1158
school_district,1160
school_district,1161
school_district,1165
school_district,1170
school_district,1171
school_district,1172
school_district,1178
